Answer,read including very short notes or instructions that are only a few sentences long,read forms,read bills or financial statements,read instruction,read books,read reports,size of the longest document that you read,fill out bills or forms,write very short notes lists instructions that are only a few sentences long,what is the longest document that you write wrote,MEASURE OR ESTIMATE SIZES WEIGHTS DISTANCES,CALCULATE PRICES COSTS,PERFORM ANY OTHER MULTIPLICATION OR DIVISION,USE OR CALCULATE FRACTIONS DECIMALS PERCENTAGES,physically demanding,co-operating or collaborating with co-workers,lift or pull anything weighing at least 25 kilos,repair maintain electronic equipment,carrying out short  repetitive tasks,direct and check the work of other workers supervise,"use A TELEPHONE, MOBILE PHONE, PAGER OR OTHER COMMUNICATION DEVICE",freedom to decide how to do your work in your own way rather than following a fixed procedure or a supervisor's instructions,USE MORE ADVANCED MATH ALGEBRA GEOMETRY TRIGONOMETRY,,,,,
"Collect medical information from patients, family members, or other medical professionals.",0.1096433,0.048268,0.1345058,0.0283238,0.0187996,0.087495,0.0511557,0.1518898,0.0470096,-0.0200504,0.111237,-0.0095626,0.1521581,0.1133589,0.0116185,0.1871096,0.1665102,0.0362668,0.0688861,0.1998757,0.2525992,0.1033356,0.057035,,,,,
"Collect information from people through observation, interviews, or surveys.",0.1609234,0.1321458,0.2609751,0.0700685,0.0802747,0.1905943,0.0422383,0.2261291,0.027835,-0.0304186,0.1516559,-0.0660232,0.0833354,0.1070186,0.038578,0.2689135,0.1810671,-0.0503121,0.0934142,0.2791702,0.2882103,0.1199924,-0.0236759,,,,,
Collect information about clients.,-0.0304046,0.1202571,0.1424747,0.1269636,0.0723246,0.1994531,0.0417747,0.1046934,-0.0537395,-0.0497104,0.0159807,0.1063126,-0.0426109,0.0342112,0.0051015,0.099345,0.0149545,0.0195468,0.0398651,0.0655093,0.0032954,-0.0708516,-0.0076809,,,,,
Research livestock management methods.,-0.0319091,0.0150204,0.0107727,0.0821171,0.0329355,0.0309694,-0.037045,-0.0256373,-0.0300746,-0.0240229,0.082568,0.0824029,0.0519489,0.0796171,0.0136245,-0.0212648,-0.0306299,-0.0007636,0.0378379,0.1186619,0.000553,0.1184222,0.0953898,,,,,
Research crop management methods.,-0.0336326,0.037503,0.0024243,0.0969729,0.0516927,0.0461756,-0.0313575,-0.014336,-0.021106,-0.0104528,0.0828026,0.0814612,0.0568735,0.0884718,-0.0048015,-0.0002636,-0.036995,0.0100058,0.0527497,0.1080364,0.0000025,0.1272737,0.0894497,,,,,
Research sustainable agricultural processes or practices.,0.1074232,0.0032437,0.1927623,0.0674317,0.0743431,0.0646817,0.0261074,0.1088884,-0.0093862,0.0477221,0.1491814,0.0018906,0.1832534,0.1662211,0.033886,0.1505423,0.1053953,0.079692,0.1178211,0.1036825,0.127219,0.2300035,0.0518939,,,,,
Conduct market research.,-0.036813,0.1194712,0.0857309,0.1757188,0.1095978,0.1656545,-0.0141585,0.0050995,-0.0570396,-0.0740458,0.025791,0.1406726,0.0340639,0.0846424,-0.0008526,0.0426427,-0.0557,0.0030144,0.0859914,0.126558,-0.001681,0.0474834,0.0567668,,,,,
Gather customer or product information to determine customer needs.,0.0794229,-0.0093726,0.1691454,0.0277852,-0.0212034,0.036023,0.0021867,0.123565,-0.0050852,-0.0564233,0.1386939,0.008973,0.0748023,0.1467131,0.1056457,0.1303399,0.1388862,-0.0010096,-0.0093441,0.0290327,0.0747428,0.1172703,0.0290558,,,,,
Obtain personal or financial information about customers or applicants.,0.1230681,0.0509899,0.4147705,-0.0177894,-0.0310615,0.0505987,-0.0102033,0.2936912,0.0136561,-0.0625538,0.1406523,0.0049118,0.1110908,0.1495646,0.1286492,0.1505655,0.1780315,-0.0326614,0.0117555,0.1260284,0.1346489,0.1505879,0.0332755,,,,,
Conduct opinion surveys or needs assessments.,0.1750021,0.0855499,0.3174007,0.1024662,0.0933165,0.1640735,-0.0082854,0.2631078,0.0521756,-0.0568325,0.2432294,-0.0059503,0.2049819,0.2012068,0.2049538,0.1662992,0.1759841,0.0121211,0.1522009,0.1974567,0.1662754,0.1722909,0.0296355,,,,,
Collect data about customer needs.,-0.0154211,0.0573066,0.1309146,0.0636626,0.009024,0.1166013,0.0784228,0.1338058,-0.0053335,-0.0201707,0.0280391,0.1121791,-0.0180092,0.0676411,0.2256689,0.0784331,0.0331759,0.0403193,0.0571785,0.0578474,0.0055182,-0.0718465,0.0392562,,,,,
Observe individuals' activities to gather information or compile evidence.,0.1915587,0.1212298,0.2730423,0.074236,0.0701789,0.2176388,0.0446577,0.2426394,0.0761951,0.0182971,0.1541005,-0.0669728,0.136764,0.1168332,-0.0144608,0.2909084,0.2018938,0.0038575,0.176337,0.2888884,0.1666242,0.2153702,-0.0087717,,,,,
Investigate personal characteristics or activities of individuals.,0.1061718,0.0801417,0.2037386,0.0159526,0.0485284,0.0766804,-0.0275608,0.1750278,0.0128344,-0.0275788,0.1793562,-0.0086334,0.223808,0.136396,0.112251,0.243391,0.1856782,-0.0198187,0.1394897,0.2642359,0.1688241,0.2260197,0.0288536,,,,,
Research genetic characteristics or expression.,0.108347,0.0897087,0.1755728,0.0180018,-0.0141626,0.0629361,-0.0274153,0.1605213,0.0252994,0.0266993,0.1312187,0.026879,0.2636263,0.1710153,0.1127971,0.0951239,0.1002987,-0.0580857,0.0162809,0.0284744,0.0774509,0.0216061,0.083204,,,,,
Research diseases or parasites.,0.0506942,0.0580593,0.2213913,0.0281772,0.056486,0.0660964,-0.0447826,0.2080418,-0.0868699,-0.0518026,0.121017,0.0307563,0.1360404,0.1617292,0.0998152,0.20321,0.1292826,-0.0056448,0.0330732,0.1121637,0.1062505,-0.0213142,0.0128398,,,,,
Conduct research of processes in natural or industrial ecosystems.,0.0994261,-0.0310991,0.1691804,-0.0074282,0.0132394,0.0457506,-0.041119,0.1071619,0.0100171,0.0084329,0.1126276,-0.0541374,0.1065042,0.1546568,0.0659707,0.1192684,0.0662115,-0.0161424,0.0598519,0.0980258,0.0821174,0.2041642,0.026215,,,,,
Research microbiological or chemical processes or structures.,0.0838202,-0.0058516,0.1613755,-0.0206149,0.0299839,0.0177152,-0.0431328,0.1003942,0.0050127,-0.0035944,0.0587272,-0.0149486,0.1067559,0.111091,0.0565202,0.1284706,0.0647313,0.0369246,0.0291113,0.018051,0.0751551,0.1552273,0.0114917,,,,,
Classify organisms based on their characteristics or behavior.,0.0990392,-0.011254,0.1069635,-0.0379021,-0.0324845,-0.0206743,-0.047555,0.1139925,0.0580436,0.0539849,0.1155085,-0.0347402,0.1622556,0.1461378,0.1306617,0.1374883,0.1417302,-0.0647971,0.0544369,0.0692018,0.0912791,0.1600642,0.0158952,,,,,
Examine characteristics or behavior of living organisms.,0.1330065,0.0292811,0.1932928,0.0049624,0.0040564,0.0558481,-0.0196313,0.1306178,0.0537403,0.0447553,0.1614591,-0.0305186,0.2038979,0.1560991,0.1567951,0.1243274,0.1211167,-0.0474942,0.0728045,0.1659426,0.1092128,0.1430978,0.0458844,,,,,
Obtain documentation to authorize activities.,0.0665484,0.1109641,0.0994671,0.1072807,0.1286422,0.0973979,0.2866562,0.1867751,0.1005964,0.225481,0.03898,-0.0262316,0.039076,0.0301513,0.0732705,0.1014152,0.0654652,-0.0036667,0.2214558,0.2058664,0.0453961,0.1515015,0.0737599,,,,,
Obtain copyrights or other legal permissions.,0.1061942,0.0055159,0.1755339,-0.0318154,-0.0027336,-0.0104765,0.0436981,0.2008311,0.0164564,0.014165,0.154876,0.0238241,0.3179845,0.2038658,0.0344671,0.1153538,0.2201936,0.003738,0.0584201,0.2434107,0.2999607,0.100355,0.177729,,,,,
Obtain written authorization to perform activities.,0.0883297,0.1950518,0.1084569,0.1165827,0.1135147,0.0955174,0.1549791,0.2140773,0.1712649,0.2091836,0.0183493,-0.0815482,0.0002896,0.009722,0.0687573,0.0775595,0.0763209,0.0118657,0.2662815,0.229425,0.0289042,0.1729112,0.0461884,,,,,
Conduct anthropological or archaeological research.,0.0896484,0.012822,0.1821097,0.0182107,0.0723209,0.0733818,-0.0083791,0.1177469,0.0057751,0.013555,0.1374233,0.0080951,0.0964982,0.1159881,0.1104114,0.2061393,0.1612377,0.0206269,0.0652822,0.1363842,0.0872924,0.110674,0.1094542,,,,,
Conduct historical research.,0.0105137,0.1315968,0.1561534,0.1635105,0.1559854,0.2409642,0.1260986,0.0502031,0.0144247,0.1213436,0.058988,0.093746,0.0221628,0.0351194,0.1040359,0.031504,-0.0522629,0.0444217,0.144506,0.0988832,-0.0325479,0.0074807,0.0562226,,,,,
Conduct research on social issues.,-0.0084661,0.0830537,0.1171365,0.059715,0.1021091,0.1316605,-0.0178978,0.0511021,-0.030656,-0.0304896,0.0127581,0.0014425,0.0149334,0.0570086,0.0735573,0.1710188,0.0267403,-0.0106096,0.1285719,0.1550989,0.0663802,0.0500365,0.077963,,,,,
Research social issues.,-0.0799783,0.07076,0.0701701,0.0274432,0.1012126,0.112026,-0.0145862,-0.0019041,-0.1110374,-0.0189652,-0.01576,0.0817836,0.0007272,0.0236808,0.1156981,0.1363177,-0.0305724,0.0193827,0.0478983,0.0459303,0.0245088,-0.1073197,0.0556241,,,,,
Conduct research to increase knowledge about medical issues.,0.0770403,0.0842121,0.1308727,0.1233153,0.1731429,0.1500439,0.0492853,0.0246181,0.0446326,-0.0678945,0.0373307,-0.0136195,0.0330924,0.032397,0.0469329,0.0390472,0.0492243,0.0180129,0.117292,0.0713733,-0.005566,0.0418343,0.1172308,,,,,
Collect information about community health needs.,0.0097452,0.066362,0.0678753,0.055741,0.0198125,0.1180576,0.0238732,0.0766559,0.0290978,-0.0055336,0.0444963,0.033177,0.0002348,0.0319417,0.1684344,0.0596737,0.0415776,0.0907465,0.0312384,0.0216302,0.0318591,-0.0970292,0.0249418,,,,,
Research engineering aspects of biological or chemical processes.,0.0867364,-0.0652473,0.151921,-0.0502244,-0.0010152,0.0143202,-0.047933,0.057933,-0.0022036,0.0013361,0.0821637,-0.0140474,0.0973179,0.1168437,0.1021694,0.110312,0.014226,0.021544,0.0170016,0.0500903,0.0488402,0.1547362,0.0241578,,,,,
Research engineering applications of emerging technologies.,-0.0443597,-0.0069872,0.0250096,-0.0354943,0.0305182,0.0214673,-0.0192497,-0.0151009,-0.0630467,-0.0089583,0.0244773,0.0055123,0.0552661,0.1202074,0.0713448,-0.0296039,-0.0138854,0.0583287,0.0536186,0.0106747,0.0460896,-0.0881692,0.1441116,,,,,
Research design or application of green technologies.,0.0501114,0.0065232,0.169945,-0.04471,0.0150503,0.0275318,-0.0241085,0.1379286,-0.0669408,-0.0149706,0.0953606,-0.0239865,0.1132833,0.1925195,0.0265385,0.1220271,0.0740229,0.0000459,0.030106,0.0188031,0.1463007,0.022956,0.0738694,,,,,
Conduct research to gain information about products or processes.,0.1485248,0.0403837,0.2322454,0.0724952,0.0736108,0.151946,-0.0094972,0.1356376,0.0649588,-0.0341324,0.0934403,-0.0763223,0.0969965,0.1341198,-0.0520898,0.1596504,0.1129073,-0.0013484,0.1406697,0.1019117,0.0860974,0.278614,0.0078757,,,,,
Research advanced engineering designs or applications.,0.0669183,0.0282183,0.1941909,-0.0301354,0.0391098,0.0138094,0.0018245,0.1771828,-0.0600128,-0.0027432,0.1151139,-0.0211874,0.1630405,0.2034647,0.0480733,0.0944384,0.1152503,-0.0034411,0.0275223,0.0282864,0.1279547,0.0161213,0.1715126,,,,,
"Research energy production, use, or conservation.",0.0156844,-0.0058058,0.1420476,-0.00577,0.024941,0.0626734,0.002649,0.1026154,-0.0747622,-0.0005278,0.0783186,-0.0207319,0.0765949,0.2159619,0.0658714,0.1570803,0.0716144,0.1216414,0.0447865,0.0612646,0.2231804,0.0515716,0.1173095,,,,,
