Element Name,IWA Title,DWA Title
Analyzing Data or Information,Analyze data to improve operations.,Analyze data to identify or resolve operational problems.
Analyzing Data or Information,Analyze data to improve operations.,Analyze shipping information to make routing decisions.
Analyzing Data or Information,Analyze data to improve operations.,Analyze traffic data.
Analyzing Data or Information,Analyze data to improve operations.,Analyze energy usage data.
Analyzing Data or Information,"Research laws, precedents, or other legal data.",Identify implications for cases from legal precedents or other legal information.
Analyzing Data or Information,Assess characteristics or impacts of regulations or policies.,Appraise environmental impact of regulations or policies.
Analyzing Data or Information,Assess characteristics or impacts of regulations or policies.,Analyze environmental regulations to ensure organizational compliance.
Analyzing Data or Information,Assess characteristics or impacts of regulations or policies.,Analyze impact of legal or regulatory changes.
Analyzing Data or Information,Assess characteristics or impacts of regulations or policies.,Evaluate applicable laws and regulations to determine impact on organizational activities.
Analyzing Data or Information,Analyze biological or chemical substances or related data.,Analyze laboratory specimens to detect abnormalities or other problems.
Analyzing Data or Information,Analyze biological or chemical substances or related data.,Analyze forensic evidence to solve crimes.
Analyzing Data or Information,Analyze biological or chemical substances or related data.,Analyze crime scene evidence.
Analyzing Data or Information,Analyze biological or chemical substances or related data.,Analyze laboratory findings.
Analyzing Data or Information,Analyze biological or chemical substances or related data.,Analyze biological samples.
Analyzing Data or Information,Analyze biological or chemical substances or related data.,Analyze chemical compounds or substances.
Analyzing Data or Information,Analyze business or financial data.,Analyze budgetary or accounting data.
Analyzing Data or Information,Analyze business or financial data.,Analyze financial information.
Analyzing Data or Information,Analyze business or financial data.,Apply mathematical models of financial or business conditions.
Analyzing Data or Information,Analyze business or financial data.,Analyze business or financial data.
Analyzing Data or Information,Analyze business or financial data.,Analyze financial records to improve budgeting or planning.
Analyzing Data or Information,Analyze business or financial data.,Analyze financial records or reports to determine state of operations.
Analyzing Data or Information,Analyze business or financial data.,Analyze financial records to improve efficiency.
Analyzing Data or Information,Analyze performance of systems or equipment.,Conduct quantitative failure analyses of operational data.
Analyzing Data or Information,Analyze performance of systems or equipment.,"Analyze security of systems, network, or data."
Analyzing Data or Information,Analyze performance of systems or equipment.,Interpret design or operational test results.
Analyzing Data or Information,Analyze performance of systems or equipment.,Analyze test or validation data.
Analyzing Data or Information,Analyze performance of systems or equipment.,Analyze test or performance data to assess equipment operation.
Making Decisions and Solving Problems,Determine values or prices of goods or services.,"Estimate costs of products, services, or materials."
Making Decisions and Solving Problems,Determine values or prices of goods or services.,Determine the value of goods or services.
Making Decisions and Solving Problems,Determine values or prices of goods or services.,Estimate costs or terms of sales.
Making Decisions and Solving Problems,Determine values or prices of goods or services.,Determine prices for menu items.
Making Decisions and Solving Problems,Determine values or prices of goods or services.,Calculate shipping costs.
Making Decisions and Solving Problems,Determine values or prices of goods or services.,Estimate costs of goods or services.
Making Decisions and Solving Problems,Determine values or prices of goods or services.,Calculate costs of goods or services.
Making Decisions and Solving Problems,Diagnose system or equipment problems.,Determine causes of operational problems or failures.
Making Decisions and Solving Problems,Diagnose system or equipment problems.,Troubleshoot equipment or systems operation problems.
Making Decisions and Solving Problems,Diagnose system or equipment problems.,Diagnose equipment malfunctions.
Making Decisions and Solving Problems,Authorize business activities or transactions.,Authorize construction activities.
Making Decisions and Solving Problems,Authorize business activities or transactions.,Authorize financial actions.
Making Decisions and Solving Problems,Authorize business activities or transactions.,Authorize payments to settle legal disputes.
Making Decisions and Solving Problems,Authorize business activities or transactions.,Approve expenditures.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine metal or plastic production methods.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine appropriate locations for operations or installations.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine operational methods.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine operational procedures.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine methods to minimize environmental impact of activities.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine food production methods.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine forestry techniques or methods.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine construction project layouts.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine production equipment settings.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine appropriate methods for data analysis.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine protocols for medical procedures.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Choose optimal transportation routes or speeds.
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine technical requirements of productions or projects.
Making Decisions and Solving Problems,Make legal decisions.,Make decisions in legal cases.
Making Decisions and Solving Problems,Make legal decisions.,Rule on admissibility of legal proceedings.
Making Decisions and Solving Problems,Diagnose health conditions or disorders.,Diagnose dental conditions.
Making Decisions and Solving Problems,Diagnose health conditions or disorders.,Diagnose medical conditions.
Making Decisions and Solving Problems,Diagnose health conditions or disorders.,Diagnose neural or psychological disorders.
Making Decisions and Solving Problems,Edit written materials or documents.,Edit written materials.
Making Decisions and Solving Problems,Edit written materials or documents.,Edit documents.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate technical or resource requirements for development or production projects.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Identify information technology project resource requirements.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate labor requirements.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,"Calculate specific material, equipment, or labor requirements for production."
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Determine resource needs.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,"Estimate labor or resource requirements for forestry, fishing, or agricultural operations."
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,"Estimate supplies, ingredients, or staff requirements for food preparation activities."
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate cost or material requirements.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate material requirements for production.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate time requirements for development or production projects.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,"Determine types of equipment, tools, or materials needed for jobs."
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate materials requirements for projects.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Calculate requirements for equipment installation or repair projects.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Estimate construction project labor requirements.
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.
Making Decisions and Solving Problems,Implement procedures or processes.,Implement transportation changes to reduce environmental impact.
Making Decisions and Solving Problems,Implement procedures or processes.,Apply new technologies to improve work processes.
Making Decisions and Solving Problems,Implement procedures or processes.,Implement advertising or marketing initiatives.
Making Decisions and Solving Problems,Implement procedures or processes.,Implement financial decisions.
Making Decisions and Solving Problems,Implement procedures or processes.,Implement design or process improvements.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,"Select tools, equipment, or technologies for use in operations or projects."
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select project materials.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select materials or props.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,"Select equipment, materials, or supplies for cleaning or maintenance activities."
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select production input materials.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select production equipment according to product specifications.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select construction materials.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select medical equipment for addressing patient needs.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select construction equipment.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select educational materials or equipment.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select resources needed to accomplish tasks.
Making Decisions and Solving Problems,Alter audio or video recordings.,Edit audio or video recordings.
Making Decisions and Solving Problems,Alter audio or video recordings.,Mix sound inputs.
Thinking Creatively,Develop patient or client care or treatment plans.,Develop treatment plans for patients or clients.
Thinking Creatively,Develop patient or client care or treatment plans.,Develop medical treatment plans.
Thinking Creatively,Develop patient or client care or treatment plans.,Develop exercise or conditioning programs.
Thinking Creatively,Develop patient or client care or treatment plans.,Develop patient therapy programs.
Thinking Creatively,Develop patient or client care or treatment plans.,Modify treatment plans to accommodate client needs.
Thinking Creatively,Develop patient or client care or treatment plans.,Develop treatment plans that use non-medical therapies.
Thinking Creatively,Develop patient or client care or treatment plans.,Establish treatment goals.
Thinking Creatively,Design computer or information systems or applications.,Develop software or computer applications.
Thinking Creatively,Design computer or information systems or applications.,Develop computer or information systems.
Thinking Creatively,Design computer or information systems or applications.,Design computer modeling or simulation programs.
Thinking Creatively,Design computer or information systems or applications.,Develop computer or online applications.
Thinking Creatively,Design computer or information systems or applications.,Design integrated computer systems.
Thinking Creatively,Design computer or information systems or applications.,Develop software or applications for scientific or technical use.
Thinking Creatively,Design computer or information systems or applications.,Modify software programs to improve performance.
Thinking Creatively,Design computer or information systems or applications.,Design websites or web applications.
Thinking Creatively,Design computer or information systems or applications.,Design video game features or details.
Thinking Creatively,Design computer or information systems or applications.,Design software applications.
Thinking Creatively,Design computer or information systems or applications.,Design healthcare-related software applications.
Thinking Creatively,Design computer or information systems or applications.,Apply information technology to solve business or other applied problems.
Thinking Creatively,Develop business or marketing plans.,Develop business or market strategies.
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies for environmental initiatives.
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.
Thinking Creatively,Develop business or marketing plans.,Develop promotional strategies for religious organizations.
Thinking Creatively,Develop business or marketing plans.,Develop promotional strategies or plans.
Thinking Creatively,Develop recipes or menus.,Create new recipes or food presentations.
Thinking Creatively,Develop recipes or menus.,Plan menu options.
Thinking Creatively,"Develop safety standards, policies, or procedures.",Develop healthcare quality and safety procedures.
Thinking Creatively,"Develop safety standards, policies, or procedures.","Develop safety standards, policies, or procedures."
Thinking Creatively,"Develop safety standards, policies, or procedures.",Establish rules or policies governing student behavior.
Thinking Creatively,"Develop safety standards, policies, or procedures.",Develop fire safety or prevention programs or plans.
Thinking Creatively,Design databases.,Develop database parameters or specifications.
Thinking Creatively,Design databases.,Develop technical or scientific databases.
Thinking Creatively,Design databases.,Develop library or archival databases.
Thinking Creatively,Design databases.,Create databases to store electronic data.
Thinking Creatively,Develop technical specifications for products or operations.,Determine design criteria or specifications.
Thinking Creatively,Develop technical specifications for products or operations.,Develop specifications for new products or processes.
Thinking Creatively,Develop technical specifications for products or operations.,Develop specifications or procedures for website development or maintenance.
Thinking Creatively,Develop technical specifications for products or operations.,Develop technical specifications for systems or equipment.
Thinking Creatively,Develop technical specifications for products or operations.,Develop specifications for computer network operation.
Thinking Creatively,Develop technical specifications for products or operations.,Determine operational criteria or specifications.
Thinking Creatively,Develop technical specifications for products or operations.,Develop performance metrics or standards related to information technology.
Thinking Creatively,Develop plans for managing or preserving natural resources.,Plan natural resources conservation or restoration programs.
Thinking Creatively,Develop plans for managing or preserving natural resources.,Develop environmental remediation or protection plans.
Thinking Creatively,Develop plans for managing or preserving natural resources.,Develop environmental sustainability plans or projects.
Thinking Creatively,Develop plans for managing or preserving natural resources.,Develop plans to manage natural or renewable resources.
Thinking Creatively,Develop financial or business plans.,Develop financial plans for clients.
Thinking Creatively,Develop financial or business plans.,Develop financial or business plans.
Thinking Creatively,Develop health assessment methods or programs.,Develop health assessment methods or programs.
Thinking Creatively,Develop health assessment methods or programs.,Develop tools to diagnose or assess needs.
Thinking Creatively,Design structures or facilities.,Plan facility layouts or designs.
Thinking Creatively,Design structures or facilities.,Incorporate green features into the design of structures or facilities.
Thinking Creatively,Design structures or facilities.,Design civil structures or systems.
Thinking Creatively,Design structures or facilities.,Design structures or facilities.
Thinking Creatively,Develop marketing or promotional materials.,Develop promotional materials.
Thinking Creatively,Develop marketing or promotional materials.,Create marketing materials.
Thinking Creatively,Develop marketing or promotional materials.,Develop content for sales presentations or other materials.
Thinking Creatively,Design materials or devices.,Design templates or patterns.
Thinking Creatively,Design materials or devices.,Design materials for industrial or commercial applications.
Thinking Creatively,Design materials or devices.,"Design micro- or nano-scale materials, devices, or systems."
Thinking Creatively,Design materials or devices.,Design medical devices or appliances.
Thinking Creatively,Design industrial systems or equipment.,Design industrial processing systems.
Thinking Creatively,Design industrial systems or equipment.,Develop equipment or component configurations.
Thinking Creatively,Design industrial systems or equipment.,Design industrial equipment.
Thinking Creatively,Design industrial systems or equipment.,Design energy production or management equipment or systems.
Thinking Creatively,Design industrial systems or equipment.,"Design tools, fixtures, or other devices for production equipment."
Thinking Creatively,Design industrial systems or equipment.,Design control systems for mechanical or other equipment.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Establish work standards.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Design psychological or educational treatment procedures or programs.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Develop instructional objectives.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Plan experiential learning activities.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Establish operational policies.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Plan educational activities.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Develop strategies or programs for students with special needs.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Develop educational programs.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Develop educational or training programs.
Thinking Creatively,"Develop educational programs, plans, or procedures.","Develop educational goals, standards, policies, or procedures."
Thinking Creatively,"Develop educational programs, plans, or procedures.",Develop educational policies.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design water conservation systems.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Apply knowledge or research findings to address environmental problems.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Protect wildlife or natural areas.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design environmental control systems.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design energy-efficient vehicles or vehicle components.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design alternative energy systems.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design systems to reduce harmful emissions.
Thinking Creatively,Develop systems or practices to mitigate or resolve environmental problems.,Design energy-efficient equipment or systems.
Thinking Creatively,Develop public or community health programs.,Plan programs to address community mental wellness needs.
Thinking Creatively,Develop public or community health programs.,Plan programs to address community health issues.
Thinking Creatively,Develop public or community health programs.,Design public or employee health programs.
Thinking Creatively,Create visual designs or displays.,Prepare drawings or diagrams of products or services.
Thinking Creatively,Create visual designs or displays.,Prepare production storyboards.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of civil structures.
Thinking Creatively,Create visual designs or displays.,"Create images of data, locations, or products."
Thinking Creatively,Create visual designs or displays.,Create electrical schematics.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of energy production systems.
Thinking Creatively,Create visual designs or displays.,Create construction or installation diagrams.
Thinking Creatively,Create visual designs or displays.,Create schematic drawings for electronics.
Thinking Creatively,Create visual designs or displays.,"Design layout of art or product exhibits, displays, or promotional materials."
Thinking Creatively,Create visual designs or displays.,Create diagrams or blueprints for workpieces or products.
Thinking Creatively,Create visual designs or displays.,Prepare maps.
Thinking Creatively,Create visual designs or displays.,Design layouts for print publications.
Thinking Creatively,Create visual designs or displays.,Develop diagrams or flow charts of system operation.
Thinking Creatively,Create visual designs or displays.,Prepare graphics or other visual representations of information.
Thinking Creatively,Create visual designs or displays.,Draw detailed or technical illustrations.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of structures or landscapes.
Thinking Creatively,Create visual designs or displays.,Create computer-generated graphics or animation.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of mechanical equipment.
Thinking Creatively,Create visual designs or displays.,Create maps.
Thinking Creatively,Create visual designs or displays.,Create images or other visual displays.
Thinking Creatively,Create visual designs or displays.,Create graphical representations of industrial production systems.
Thinking Creatively,Develop contingency or emergency response plans.,Develop emergency procedures.
Thinking Creatively,Develop contingency or emergency response plans.,Maintain contingency plans for disaster recovery.
Thinking Creatively,Develop contingency or emergency response plans.,Develop contingency plans to deal with organizational emergencies.
Thinking Creatively,Develop contingency or emergency response plans.,Develop emergency response plans or procedures.
Thinking Creatively,Develop sustainable organizational or business policies or practices.,"Develop operating strategies, plans, or procedures for green or sustainable operations."
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop sustainable business strategies or practices.
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop sustainable organizational policies or practices.
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop sustainable industrial or development methods.
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop operational methods or processes that use green materials or emphasize sustainability.
Thinking Creatively,"Develop models of systems, processes, or products.",Create models of engineering designs or methods.
Thinking Creatively,"Develop models of systems, processes, or products.",Develop models of information or communications systems.
Thinking Creatively,"Develop models of systems, processes, or products.",Create physical models or prototypes.
Thinking Creatively,"Develop news, entertainment, or artistic content.",Analyze information obtained from news sources.
Thinking Creatively,"Develop news, entertainment, or artistic content.",Determine presentation subjects or content.
Thinking Creatively,Develop research plans or methodologies.,Devise research or testing protocols.
Thinking Creatively,Develop research plans or methodologies.,Develop biological research methods.
Thinking Creatively,Develop research plans or methodologies.,Develop methods of social or economic research.
Thinking Creatively,Develop research plans or methodologies.,Design research studies to obtain scientific information.
Thinking Creatively,Develop research plans or methodologies.,Plan biological research.
Thinking Creatively,Develop research plans or methodologies.,Plan environmental research.
Thinking Creatively,Develop research plans or methodologies.,Develop environmental research methods.
Thinking Creatively,Develop research plans or methodologies.,Plan social sciences research.
Thinking Creatively,Design electrical or electronic systems or equipment.,Design electromechanical equipment or systems.
Thinking Creatively,Design electrical or electronic systems or equipment.,Design electrical equipment or systems.
Thinking Creatively,Design electrical or electronic systems or equipment.,Design electronic or computer equipment or instrumentation.
Thinking Creatively,Create artistic designs or performances.,"Create musical compositions, arrangements or scores."
Thinking Creatively,Create artistic designs or performances.,Design costumes or cosmetic effects for characters.
Thinking Creatively,Create artistic designs or performances.,Choreograph dances.
Thinking Creatively,Create artistic designs or performances.,Design jewelry or decorative objects.
Thinking Creatively,Create artistic designs or performances.,"Develop artistic or design concepts for decoration, exhibition, or commercial purposes."
Thinking Creatively,Develop scientific or mathematical theories or models.,Develop theories or models of physical phenomena.
Thinking Creatively,Develop scientific or mathematical theories or models.,Develop mathematical models of environmental conditions.
Thinking Creatively,Develop scientific or mathematical theories or models.,Develop scientific or mathematical models.
Thinking Creatively,Develop organizational or program goals or objectives.,Develop program goals or plans.
Thinking Creatively,Develop organizational or program goals or objectives.,Develop organizational goals or objectives.
Thinking Creatively,Develop organizational or program goals or objectives.,Develop plans for programs or services.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Review professional literature to maintain professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain professional social services knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Stay informed about current developments in field of specialization.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Attend events to develop professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain current knowledge related to work activities.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update knowledge of legal or regulatory environments.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update knowledge about emerging industry or technology trends.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of current developments in area of expertise.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Attend conferences or workshops to maintain professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Research topics in area of expertise.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update job related knowledge or skills.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain medical or professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,"Conduct research to inform art, designs, or other work."
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Attend training to learn new skills or update knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of laws or regulations.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain professional knowledge or certifications.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of business operations.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Attend training sessions or professional meetings to develop or maintain professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Attend educational events to update medical knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update technical knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Update professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Study product information to acquire professional knowledge.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Review laws or regulations to maintain professional knowledge.
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Develop organizational policies or programs.
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.","Develop operating strategies, plans, or procedures."
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Establish organizational guidelines or policies.
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Develop organizational methods or procedures.
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Establish business management methods.
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Determine pricing or monetary policies.
Developing Objectives and Strategies,Draft legislation or regulations.,Draft legislation or regulations.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures for data management.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Establish nursing policies or standards.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop information communication procedures.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop business or financial information systems.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,"Develop policies or procedures for archives, museums or libraries."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop financial analysis methods.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Establish standards for medical care.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop guidelines for system implementation.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop computer or information security policies or procedures.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop data analysis or data management procedures.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop technical processes to improve the efficiency of biofuel production.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop new or advanced products or production methods.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures to evaluate organizational activities.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop technical methods or processes.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop testing routines or procedures.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures for data entry or processing.
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,"Establish standards for products, processes, or procedures."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop agricultural methods.
Scheduling Work and Activities,Prepare schedules for services or facilities.,Arrange facility schedules.
Scheduling Work and Activities,Prepare schedules for services or facilities.,Schedule dining reservations.
Scheduling Work and Activities,Prepare schedules for services or facilities.,Schedule medical facility use.
Scheduling Work and Activities,Prepare schedules for services or facilities.,Schedule activities or facility use.
Scheduling Work and Activities,Schedule operational activities.,Schedule product or material transportation.
Scheduling Work and Activities,Schedule operational activities.,Arrange maintenance activities.
Scheduling Work and Activities,Schedule operational activities.,Schedule instructional activities.
Scheduling Work and Activities,Schedule operational activities.,Schedule equipment maintenance.
Scheduling Work and Activities,Schedule operational activities.,Schedule agricultural or forestry work.
Scheduling Work and Activities,Schedule operational activities.,"Schedule repair, installation or maintenance activities."
Scheduling Work and Activities,Schedule operational activities.,Schedule operational activities.
Scheduling Work and Activities,Schedule appointments.,Schedule appointments.
Scheduling Work and Activities,Schedule appointments.,Schedule patient procedures or appointments.
Scheduling Work and Activities,Schedule appointments.,Schedule appointments with prospective customers.
"Organizing, Planning, and Prioritizing Work",Plan events or programs.,Plan special events.
"Organizing, Planning, and Prioritizing Work",Plan events or programs.,"Plan conferences, programs, or special events."
"Organizing, Planning, and Prioritizing Work",Plan events or programs.,Plan implementation or promotion of recycling programs.
"Organizing, Planning, and Prioritizing Work",Plan events or programs.,Plan community programs or activities for the general public.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,"Plan layout of construction, installation, or repairs."
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan work procedures.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan work operations.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan flight operations.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Adjust routes or speeds as necessary.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan trapping or hunting activities.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Prepare detailed work plans.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Develop detailed project plans.
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan production or operational procedures or sequences.
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare compounds or solutions to be used for repairs.
Performing General Physical Activities,Prepare mixtures or solutions.,Mix ingredients to create specific finishes.
Performing General Physical Activities,Prepare mixtures or solutions.,Mix ingredients.
Performing General Physical Activities,Prepare mixtures or solutions.,Mix substances or compounds needed for work activities.
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare chemicals for work application.
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare materials or solutions for animal or plant use.
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare medications or medical solutions.
Performing General Physical Activities,Prepare mixtures or solutions.,Mix substances to create chemical solutions.
Performing General Physical Activities,Protect people or property from threats such as fires or flooding.,Operate firefighting equipment.
Performing General Physical Activities,Protect people or property from threats such as fires or flooding.,Protect property from fire or water damage.
Performing General Physical Activities,Protect people or property from threats such as fires or flooding.,Perform forest firefighting activities.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean vessels or marine equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.","Clean food preparation areas, facilities, or equipment."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean equipment or supplies.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean work areas.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean patient rooms or patient treatment rooms.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Sterilize food cooking or processing equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or work areas.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Maintain clean work areas.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean work sites.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean machinery or equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean tools or equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.","Clean equipment, parts, or tools to repair or maintain them in good working order."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Decontaminate equipment or sites to remove hazardous or toxic substances.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Perform housekeeping duties.
